CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
Financial Consulting,Finance & Risk,FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,,Retail,5591933.998
BUSINESS CONSULTING,INTELLECTUAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Consumer Packaged Goods (CPG),102066133.8
SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,UNADDRESSABLE,Consumer Packaged Goods (CPG),2464075.546
TELECOM,INFORMATION TECHNOLOGY & TELECOMMUNICATION,TELECOM EXPENSE MANAGEMENT,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),6596887.728
CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Consumer Packaged Goods (CPG),38028888.53
BEVERAGE AND FOOD DISPENSERS,GENERAL EXPENSES,VENDING,REAL ESTATE & FACILITIES,INDIRECT,Consumer Packaged Goods (CPG),921732.7816
TRANSFERS,EVENTS & SEMINAR,EVENTS & CONFERENCES,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),4512376.331
IT SECURITY SERVICES,INFORMATION TECHNOLOGY & TELECOMMUNICATION,IT SECURITY CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),961630.8405
ADVERTISING AGENCIES,MARKETING,ADVERTISING AGENCIES,MARKETING,INDIRECT,Industrial Manufacturing,5304525.399
BENEFITS ADMINISTRATION,HR,BENEFITS ADMINISTRATION,HR,INDIRECT,Industrial Manufacturing,3376552.16
MEETING / COWORKING SPACES,CORPORATE,MEETING / COWORKING SPACES,CORPORATE,INDIRECT,Business Services,6732296.427
SPONSORSHIPS,MARKETING,SPONSORSHIPS,MARKETING,,Business Services,5179085.607
CONTACT CENTERS,PROFESSIONAL SERVICES,CONTACT CENTERS,PROFESSIONAL SERVICES,INDIRECT,Business Services,12033340.79
MARKETING PRINT / PROMOTIONAL,MARKETING,COMMERCIAL PRINT,PRINT,INDIRECT,Food and Beverage,72032893.56
RECYCLING,FACILITIES,RECYCLING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,2385620.26
CORPORATE INSURANCE,PROFESSIONAL SERVICES,CORPORATE INSURANCE,CORPORATE,INDIRECT,Food and Beverage,151181535.4
LIFE INSURANCE,HR,LIFE & DISABILITY INSURANCE,HR,INDIRECT,Food and Beverage,31295386.27
"PHOTOCOPIERS, PRINTERS, SCANNERS",OFFICE EQUIPMENT AND SERVICES,BARCODE PRINTERS & SCANNERS,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,16968073.57
FUEL,VEHICLES,FUEL,FLEET,INDIRECT,Manufacturing,24641371.33
DIRECT PACKAGING LABELS,PACKAGING,LABELS,PRINT,LOGISTICS & PACKAGING,Manufacturing,5531541.56
MEMBERSHIP FEES,HUMAN RESOURCES,MEMBERSHIPS,CORPORATE,INDIRECT,Manufacturing,23099643.45
CUSTOMS BROKERAGE,LOGISTIC SERVICES,CUSTOMS BROKERAGE,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Manufacturing,48571529.49
SERVICE & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,SERVICE & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,9080998.329
EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,1706079.949
MECHANICAL PARTS - GEARS,MRO (INDUSTRIAL) SUPPLY,POWER TRANSMISSION & BEARINGS,MRO,INDIRECT,Manufacturing,2886170.746
THIRD PARTY MAINTENANCE,INFORMATION TECHNOLOGY,THIRD PARTY MAINTENANCE,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,1853339.915
BUSINESS PROCESS OUTSOURCING (BPO),PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO),PROFESSIONAL SERVICES,INDIRECT,Manufacturing,11688916.55
COMPANY EVENTS,HUMAN RESOURCES,EVENT SPACE & RENTALS,MARKETING,INDIRECT,Manufacturing,2092671.641
LITERATURE AND SUBSCRIPTIONS,HUMAN RESOURCES,DUES & SUBSCRIPTIONS,CORPORATE,INDIRECT,Manufacturing,3514824.401
FUEL,FLEET,FUEL,FLEET,INDIRECT,Energy & Utilities,26898943.41
TOWING,FLEET,TOWING,FLEET,INDIRECT,Energy & Utilities,320474.0798
PUMP & MOTOR REPAIRS,MRO,PUMP & MOTOR REPAIRS,MRO,INDIRECT,Energy & Utilities,996964.26
CAR SERVICE,TRAVEL,CAR SERVICE,TRAVEL,INDIRECT,Energy & Utilities,11680.16963
RETIREMENT FUND CONTRIBUTIONS,UNADDRESSABLE,RETIREMENT FUND CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Energy & Utilities,6449483.39
PHARMACY BENEFITS MANAGEMENT,HR,PHARMACY BENEFITS MANAGEMENT,HR,INDIRECT,Energy & Utilities,506099.54
REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,UNADDRESSABLE,Insurance,1682016258
TRAVEL CARD,TRAVEL,TRAVEL CARD,TRAVEL,INDIRECT,Insurance,115802406.2
Laboratory Equipment,Laboratory Equipment & Supplies,LAB/MEDICAL EQUIPMENT,MEDICAL PRODUCTS/SERVICES,DIRECT,Education,394457981.7
Training,HR Services,TRAINING & DEVELOPMENT,HR,,Education,81716752.41
Background Checks & Drug Testing,HR Services,BACKGROUND CHECKS & DRUG TESTING,HR,,Education,26074674.28
Consumer Media Agency,Sales & Marketing,MEDIA,MARKETING,INDIRECT,Pharmaceuticals,417906515.7
MEDICAL INSURANCE,HUMAN RESOURCES,MEDICAL INSURANCE,HR,INDIRECT,Consumer Packaged Goods (CPG),23290513.12
EMPLOYEE AND BUSINESS RELOCATION,GENERAL EXPENSES,MOVING SERVICES,HR,INDIRECT,Consumer Packaged Goods (CPG),2021754.192
CASTINGS,RAW MATERIALS,CASTINGS,METALWORKING,DIRECT,Industrial Manufacturing,4240406.972
ENVIRONMENTAL SERVICES (EVS),REAL ESTATE & FACILITIES,ENVIRONMENTAL SERVICES (EVS),REAL ESTATE & FACILITIES,INDIRECT,Industrial Manufacturing,258753.18
INDUSTRY SOFTWARE - HEALTHCARE,TECHNOLOGY,INDUSTRY SOFTWARE - HEALTHCARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,180979.44
BUILDING REPAIR & MAINTENANCE,REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,REAL ESTATE & FACILITIES,INDIRECT,Business Services,155856126.8
OFFICE EQUIPMENT,TECHNOLOGY,OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Business Services,1072584.801
APP DEV TOOLS,TECHNOLOGY,APP DEV TOOLS,INFORMATION TECHNOLOGY,INDIRECT,Business Services,1014236.05
EVENT PLANNING SOFTWARE,TECHNOLOGY,EVENT PLANNING SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,1495
CHARTER AIRCRAFT,TRAVEL,CORPORATE AIRCRAFT,CORPORATE,,Food and Beverage,44117648.73
HAZARDOUS WASTE MANAGEMENT,FACILITIES,HAZARDOUS WASTE MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,598726.07
IT CONSULTING,INFORMATION TECHNOLOGY,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,362787643.6
RENTAL CARS,TRAVEL,AUTO RENTAL,TRAVEL,INDIRECT,Manufacturing,7562724.85
VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Energy & Utilities,16724541.34
"INDUSTRY SOFTWARE - ARCHITECTURE, ENGINEERING, & CONSTRUCTION (AEC)",INFORMATION TECHNOLOGY,"INDUSTRY SOFTWARE - ARCHITECTURE, ENGINEERING, & CONSTRUCTION (AEC)",INFORMATION TECHNOLOGY,INDIRECT,Energy & Utilities,1763530.883
VEHICLES PURCHASE,VEHICLES,VEHICLE LEASING / PURCHASE,FLEET,INDIRECT,Manufacturing,11315559.37
VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,INDIRECT,Retail,2081074.71
TOLLS,TRAVEL,TOLLS,TRAVEL,INDIRECT,Retail,1192372.27
LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,INDIRECT,Retail,21287026.06
ROOFING,REAL ESTATE & FACILITIES,ROOFING,REAL ESTATE & FACILITIES,INDIRECT,Retail,8335324.77
VALUE ADDED RESELLER (VAR),INFORMATION TECHNOLOGY,VALUE ADDED RESELLER (VAR),INFORMATION TECHNOLOGY,INDIRECT,Retail,118408201.9
FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,,Retail,4396319247
TUITION REIMBURSEMENT,UNADDRESSABLE,TUITION REIMBURSEMENT,UNADDRESSABLE,UNADDRESSABLE,Retail,9528017.52
BANKING SERVICES,CORPORATE,BANKING SERVICES,CORPORATE,INDIRECT,Retail,832616784.1
TRAVEL MANAGEMENT COMPANIES,TRAVEL,TRAVEL MANAGEMENT,TRAVEL,INDIRECT,Retail,27687544.58
MEDIA,MARKETING,WORKING MEDIA,MARKETING,INDIRECT,Retail,951228.46
ECOMMERCE PLATFORM,INFORMATION TECHNOLOGY,ECOMMERCE & PAYMENT TECH,INFORMATION TECHNOLOGY,INDIRECT,Retail,28166611.15
MOVING SERVICES,HR,MOVING SERVICES,HR,INDIRECT,Retail,124510.47
PHARMACEUTICAL R&D,SCIENTIFIC / LAB,OUTSIDE LABS,MEDICAL PRODUCTS/SERVICES,INDIRECT,Pharmaceuticals,82777440.92
PRINTED LITERATURE,PACKAGING MATERIAL,PAPERS,PRINT,LOGISTICS & PACKAGING,Pharmaceuticals,33017204.56
PLUMBING SERVICES,MRO,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,524125.0338
WASTE DISPOSAL & RECYCLING,GENERAL SERVICES & SUPPLIES,WASTE DISPOSAL & RECYCLING,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,19309035.11
TRAINING & DEVELOPMENT,HR SERVICES,TRAINING & DEVELOPMENT,HR,INDIRECT,Pharmaceuticals,2424649.371
MEDICAL INSURANCE,HR SERVICES,MEDICAL INSURANCE,HR,,Pharmaceuticals,17923041.78
INTEREST / DEBT PAYMENTS,UNADDRESSABLE,INTEREST / DEBT PAYMENTS,UNADDRESSABLE,UNADDRESSABLE,Pharmaceuticals,75791.99875
GROUND TRANSPORTATION,TRAVEL,CAR SERVICE,TRAVEL,INDIRECT,Retail,588321.57
OFFICE FURNITURE,OPERATIONAL SUPPLIES,OFFICE FURNITURE,REAL ESTATE & FACILITIES,INDIRECT,Retail,7765107.68
VERTICAL TRANSPORT,FACILITY SERVICES (STORE & DC),VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,INDIRECT,Retail,800838.41
PLUMBING SERVICES,FACILITY SERVICES (STORE & DC),PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Retail,54798473.9
FANS,OPERATIONAL SUPPLIES,FANS,MRO,INDIRECT,Retail,265456.91
STRETCH / SHRINK WRAP,OPERATIONAL SUPPLIES,STRETCH / SHRINK WRAP,PACKAGING PRODUCTS,INDIRECT,Retail,3307507.25
DRAYAGE,DIRECT PRODUCTS & SERVICES,DRAYAGE,TRANSPORTATION & LOGISTICS,DIRECT,Transportation,724945093.2
PLUMBING SERVICES,REAL ESTATE & FACILITIES,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Transportation,438505.6942
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Transportation,104888145.1
BACKGROUND CHECKS & DRUG TESTING,HR,BACKGROUND CHECKS & DRUG TESTING,HR,,Transportation,15464752.71
COMMERCIAL PRINT,PRINT,COMMERCIAL PRINT,PRINT,INDIRECT,Transportation,196647.48
INSURANCE & BENEFITS,HR,INSURANCE & BENEFITS,HR,INDIRECT,Transportation,146241649.7
ADVERTISING AGENCIES,MARKETING,ADVERTISING AGENCIES,MARKETING,INDIRECT,Transportation,2222257.831
FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,INDIRECT,Transportation,3545219.66
TAPE,MRO,TAPE,POLYMERS & RESINS,INDIRECT,Pharmaceuticals,208701.4317
LAB SUPPLIES & EQUIPMENT,MEDICAL SUPPLIES & SERVICES,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,DIRECT,Retail,999227192.8
GENERAL INDUSTRIAL SUPPLIES,MRO SUPPLIES,GENERAL INDUSTRIAL SUPPLIES,MRO,,Retail,106868291.8
PROFESSIONAL FEES,UNADDRESSABLE,PARTNERSHIP FEES,UNADDRESSABLE,UNADDRESSABLE,Retail,975121162.2
FACILITY / PROPERTY RENT,FACILITIES MANAGEMENT & MAINTENANCE,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,,Retail,760481491
EQUIPMENT & EQUIPMENT RENTAL,FACILITIES MANAGEMENT & MAINTENANCE,EQUIPMENT RENTAL,MRO,INDIRECT,Retail,21998678.54
JANITORIAL SERVICES,FACILITIES MANAGEMENT & MAINTENANCE,JANITORIAL SERVICES,REAL ESTATE & FACILITIES,,Retail,68603386.86
Hotel & Conference Center,Travel,HOTELS,TRAVEL,INDIRECT,Retail,35345687.61
Ad Agencies,Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Retail,405973402.8
Doors,Retail Products & Services,DOORS,BUILDING MATERIALS,INDIRECT,Retail,31940506.11
Point-of-Sale Equipment,IT Products & Services,POINT OF SALE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Retail,82471575.29
TRAIN/RAIL,TRAVEL,PASSENGER RAIL,TRAVEL,INDIRECT,Insurance,4732205.308
PRODUCTIVITY & WORKSPACE APPS,SOFTWARE,PRODUCTIVITY & WORKSPACE APPS,INFORMATION TECHNOLOGY,INDIRECT,Insurance,384398849.1
FULFILLMENT,FINANCIAL PRINT,FULFILLMENT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Insurance,50357134.24
CONSTRUCTION SERVICES,FACILITIES,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Insurance,441475097.6
PRINT NON-PRODUCTION,FINANCIAL PRINT,PREPRESS,PRINT,LOGISTICS & PACKAGING,Insurance,3413817.6
FURNITURE MAINTENANCE,FACILITIES,OFFICE FURNITURE,REAL ESTATE & FACILITIES,INDIRECT,Insurance,5641283.455
APPAREL AND FOOTWEAR,FACILITIES,UNIFORM & LINEN SERVICE,MRO,INDIRECT,Insurance,1528862.292
ELECTRICAL SERVICES,FACILITIES,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Insurance,48467596.7
TELECOM PROFESSIONAL SERVICE,TELECOM,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Insurance,42896968.81
CORPORATE AIRCRAFT,EXECUTIVE TRANSPORTATION,CORPORATE AIRCRAFT,CORPORATE,LOGISTICS & PACKAGING,Insurance,20518025.65
PLUMBING,FACILITIES SERVICES & MAINTENANCE,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,310843305.3
ENGINEERING SERVICES,DEV / CON SERVICES,BUILDING ENGINEERING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,819724750.7
LOCKSMITH,FACILITIES SERVICES & MAINTENANCE,LOCKSMITH,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,5680042.817
JANITORIAL SERVICES,FACILITIES SERVICES & MAINTENANCE,JANITORIAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,1161518999
REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,REVENUE ADJUSTMENTS / REIMBURSEMENTS,UNADDRESSABLE,UNADDRESSABLE,Real Estate,243951931.5
CAR SERVICE,TRAVEL,CAR SERVICE,TRAVEL,INDIRECT,Real Estate,868702.9867
BACKGROUND CHECKS & DRUG TESTING,HR SERVICES,BACKGROUND CHECKS & DRUG TESTING,HR,INDIRECT,Pharmaceuticals,762685.3604
PHARMACEUTICALS,MEDICAL SUPPLIES & SERVICES,PHARMACEUTICALS,MEDICAL PRODUCTS/SERVICES,DIRECT,Retail,2613871548
FLEET VEHICLE ACQUISITION,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Retail,1814095.13
FILE TRANSFER & DOCUMENT MGMT,SOFTWARE,FILE TRANSFER & DOCUMENT MGMT,INFORMATION TECHNOLOGY,INDIRECT,Insurance,24535974.67
IT CONSULTING,IT & TELECOM,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,41001151.86
Design Services - Architecture Services / Interior Design,Workplace,ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION,INDIRECT,Business Intelligence (BI) Software,88897515.72
IT Managed Services,IT Software and Services,IT MANAGED SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Business Intelligence (BI) Software,195005685.8
General Litigation,Legal,LEGAL SERVICES,PROFESSIONAL SERVICES,INDIRECT,Business Intelligence (BI) Software,268099379.3
Utilities - Utilities Management Services,Currently Not Addressed,UTILITIES MANAGEMENT SERVICES,UTILITIES,INDIRECT,Business Intelligence (BI) Software,54280663.98
Accounting & Auditing - Tax Services,Finance,TAX SERVICES,PROFESSIONAL SERVICES,INDIRECT,Business Intelligence (BI) Software,8796900.37
Utilities - Water & Sewer,Currently Not Addressed,WATER & SEWER,UTILITIES,INDIRECT,Business Intelligence (BI) Software,702113.3
COMPENSATION,UNADDRESSABLE (L2),EMPLOYEE COMPENSATION & REIMBURSEMENT,UNADDRESSABLE,UNADDRESSABLE,Media,589831329.3
SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE (L2),SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,UNADDRESSABLE,Media,344361180.7
AUDIT SERVICES,FINANCIAL SERVICES,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,INDIRECT,Media,176063581.7
TAX SERVICES,FINANCIAL SERVICES,TAX SERVICES,PROFESSIONAL SERVICES,INDIRECT,Media,13935722.86
SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,UNADDRESSABLE,Food & Beverages,4741110.92
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Food & Beverages,22039612.07
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Food & Beverages,22457827.78
SALES ENABLEMENT & PERFORMANCE,INFORMATION TECHNOLOGY,SALES ENABLEMENT & PERFORMANCE,INFORMATION TECHNOLOGY,INDIRECT,Food & Beverages,10164862
TRAINING & DEVELOPMENT,HR,TRAINING & DEVELOPMENT,HR,INDIRECT,Food & Beverages,4113171.76
FREELANCE AGENCY,MARKETING,ADVERTISING AGENCIES,MARKETING,INDIRECT,Food & Beverages,5839626.94
AUTO RENTAL,TRAVEL,AUTO RENTAL,TRAVEL,INDIRECT,Food & Beverages,22691.14
PROMOTIONAL PRODUCTS,MARKETING,PROMOTIONAL PRODUCTS,MARKETING,INDIRECT,Food & Beverages,9362122.1
INTERNAL TRANSFERS,UNADDRESSABLE,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Food & Beverages,438060.13
OUTPLACEMENT SERVICES,HR,OUTPLACEMENT SERVICES,HR,,Food & Beverages,15000
RECYCLING SERVICES,REAL ESTATE & FACILITIES,RECYCLING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverages,63500
PAINTING SERVICES,REAL ESTATE & FACILITIES,PAINTING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverages,13765
CORPORATE INSURANCE,CORPORATE,CORPORATE INSURANCE,CORPORATE,INDIRECT,Federal,52816459.03
TRAVEL MANAGEMENT,TRAVEL,TRAVEL MANAGEMENT,TRAVEL,INDIRECT,Federal,877520.47
INDUSTRIAL CLEANING,REAL ESTATE & FACILITIES,INDUSTRIAL CLEANING,REAL ESTATE & FACILITIES,INDIRECT,Federal,412342.7
MEDICAL STAFFING,MEDICAL & DENTAL,LOCUM TENENS,DENTAL PRODUCTS / SERVICES,INDIRECT,Federal,64033297.85
FIRE SAFETY INSPECTIONS,REAL ESTATE & FACILITIES,FIRE & LIFE SAFETY,REAL ESTATE & FACILITIES,INDIRECT,Federal,2079572.52
OUTSIDE TESTING & RESEARCH,MRO,OUTSIDE TESTING & RESEARCH,MRO,INDIRECT,Federal,1585281.49
OFFICE SUPPLIES,CORPORATE,OFFICE SUPPLIES,CORPORATE,INDIRECT,Federal,3523082.18
ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,,Federal,7300340.33
HR CONSULTING,PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Federal,1262382.56
VEHICLE LEASING / PURCHASE,FLEET,VEHICLE LEASING / PURCHASE,FLEET,INDIRECT,Federal,1635099.8
JOB BOARDS,HR,JOB BOARDS,HR,INDIRECT,Federal,711761.86
CONSTRUCTION PROJECT MANAGEMENT,CONSTRUCTION & EQUIPMENT,CONSTRUCTION PROJECT MANAGEMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Business Services,1218955.54
PROMOTIONS & CUSTOMER LOYALTY,MARKETING,PROMOTIONS & CUSTOMER LOYALTY,MARKETING,INDIRECT,Business Services,26905.25
OEM PARTS / SPARES,MRO,OEM PARTS / SPARES,MRO,INDIRECT,Business Services,1633425.665
EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,900739.7
ROOFING,REAL ESTATE & FACILITIES,ROOFING,REAL ESTATE & FACILITIES,INDIRECT,Business Services,3375551.03
CONSUMER ELECTRONICS VENDOR,INFORMATION TECHNOLOGY,CONSUMER ELECTRONICS VENDOR,INFORMATION TECHNOLOGY,INDIRECT,Business Services,34.96
FLUID POWER & PNEUMATICS,MRO,FLUID POWER & PNEUMATICS,MRO,INDIRECT,Business Services,0
REPAIRS & MAINT,FACILITIES,BUILDING REPAIR & MAINTENANCE,REAL ESTATE & FACILITIES,INDIRECT,Banking,80424865.76
TEMP LABOR NON-TECHNICAL,PROFESSIONAL SERVICES,CONTINGENT LABOR,HR,INDIRECT,Banking,75530854.97
INSURANCE,PROFESSIONAL SERVICES,INSURANCE & BENEFITS,HR,INDIRECT,Banking,215755711.4
Wireless,Telecommunications,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Aerospace & Defense,2556581.663
Facility / Property Rent,Facilities Management & Maintenance,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,INDIRECT,Aerospace & Defense,60611060.17
Meals & Entertainment,Travel,MEALS & ENTERTAINMENT,TRAVEL,,Aerospace & Defense,2242248.085
Electricity,Utilities,ELECTRICITY,UTILITIES,,Aerospace & Defense,131042447.1
Voice & Data Services,Telecommunications,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Aerospace & Defense,4896370.524
Courier Services,Transportation & Logistics,COURIER SERVICES,TRANSPORTATION & LOGISTICS,,Aerospace & Defense,7021077.064
Relocation,HR Services,RELOCATION SERVICES,HR,INDIRECT,Aerospace & Defense,1520085.29
Printing Services,Administrative Products & Services,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Aerospace & Defense,187366.6758
INDOOR PLANTS,FACILITIES MANAGEMENT & MAINTENANCE,INTERIOR PLANTS,REAL ESTATE & FACILITIES,,Custom Software & IT Services,336297.1234
PALLETS,PACKING AND SHIPPING SUPPLIES,PALLETS & CRATES,PACKAGING PRODUCTS,,Custom Software & IT Services,6959706.123
WAREHOUSES & STORAGE,TRANSPORTATION & LOGISTICS,WAREHOUSING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Custom Software & IT Services,79954502.41
HR CONSULTING,HR SERVICES,HR SERVICES,HR,,Custom Software & IT Services,97643235.65
PEST CONTROL,FACILITIES MANAGEMENT & MAINTENANCE,PEST CONTROL,REAL ESTATE & FACILITIES,,Custom Software & IT Services,787680.6117
EQUIPMENT MAINTENANCE & REPAIR,EQUIPMENT,EQUIPMENT MAINTENANCE & REPAIR,MRO,,Chemicals & Related Products,69253411.03
CEMENT,RAW MATERIALS,CEMENT,BUILDING MATERIALS,DIRECT,Chemicals & Related Products,736057.0124
FUEL FOR AUTO RENTAL,TRAVEL,FUEL,FLEET,,Chemicals & Related Products,347035.5329
MEDICAL INSURANCE,INSURANCE,MEDICAL INSURANCE,HR,INDIRECT,Chemicals & Related Products,31755429.06
JANITORIAL / SANITATION SUPPLIES,MRO PARTS,JANITORIAL SUPPLIES,MRO,INDIRECT,Chemicals & Related Products,1394966.351
WATER TREATMENT CHEMICALS,MRO PARTS,WATER TREATMENT,REAL ESTATE & FACILITIES,INDIRECT,Chemicals & Related Products,1203904.091
EVENT PLANNING & PRODUCTION AGENCIES,MARKETING,EVENTS & CONFERENCES,MARKETING,,Chemicals & Related Products,1074451.891
PACKAGING EQUIPMENT,PACKING & SHIPPING SUPPLIES,PACKAGING EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Chemicals & Related Products,1336845.2
MANAGEMENT FEES,UNADDRESSABLE,MANAGEMENT FEES,UNADDRESSABLE,UNADDRESSABLE,Chemicals & Related Products,17994790.36
INTERNAL TRANSFERS,UNADDRESSABLE,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Medical & Surgical Hospitals,391783247.3
ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,2030938.25
INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Drug Stores & Pharmacies,17286627.24
SIGNAGE,REAL ESTATE & FACILITIES,SIGNAGE,REAL ESTATE & FACILITIES,INDIRECT,Drug Stores & Pharmacies,14091253.34
ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,INDIRECT,Drug Stores & Pharmacies,1798696.57
BENEFITS BROKER,HR,BENEFITS BROKER,HR,INDIRECT,Drug Stores & Pharmacies,955911.23
WORKING MEDIA - PAID SOCIAL,MARKETING,WORKING MEDIA - PAID SOCIAL,MARKETING,INDIRECT,Drug Stores & Pharmacies,12128653.35
ELECTRONICS,MRO,ELECTRONICS,MRO,INDIRECT,Drug Stores & Pharmacies,539632.62
REFRIGERATION,REAL ESTATE & FACILITIES,CHILLERS,REAL ESTATE & FACILITIES,INDIRECT,Drug Stores & Pharmacies,2303868.51
